--- Terminal on /dev/cu.usbserial-0001 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
0 - IR_RAW: 111032 - IR_AC: -229
1 - IR_RAW: 111064 - IR_AC: -226
2 - IR_RAW: 111137 - IR_AC: -176
3 - IR_RAW: 110813 - IR_AC: -94
4 - IR_RAW: 110385 - IR_AC: -9
5 - IR_RAW: 110254 - IR_AC: 49
6 - IR_RAW: 110316 - IR_AC: 59
7 - IR_RAW: 110428 - IR_AC: 16
8 - IR_RAW: 110523 - IR_AC: -67
9 - IR_RAW: 110583 - IR_AC: -166
10 - IR_RAW: 110611 - IR_AC: -250
11 - IR_RAW: 110567 - IR_AC: -298
12 - IR_RAW: 110515 - IR_AC: -303
13 - IR_RAW: 110526 - IR_AC: -276
14 - IR_RAW: 110569 - IR_AC: -235
15 - IR_RAW: 110631 - IR_AC: -197
16 - IR_RAW: 110702 - IR_AC: -168
17 - IR_RAW: 110765 - IR_AC: -147
18 - IR_RAW: 110832 - IR_AC: -126
19 - IR_RAW: 110890 - IR_AC: -97
20 - IR_RAW: 110930 - IR_AC: -58
21 - IR_RAW: 110981 - IR_AC: -11
22 - IR_RAW: 111003 - IR_AC: 40
23 - IR_RAW: 111062 - IR_AC: 90
24 - IR_RAW: 111122 - IR_AC: 136
25 - IR_RAW: 110736 - IR_AC: 172
26 - IR_RAW: 110339 - IR_AC: 191
27 - IR_RAW: 110240 - IR_AC: 184
28 - IR_RAW: 110319 - IR_AC: 142
29 - IR_RAW: 110445 - IR_AC: 63
30 - IR_RAW: 110547 - IR_AC: -39
31 - IR_RAW: 110654 - IR_AC: -143
32 - IR_RAW: 110650 - IR_AC: -223
33 - IR_RAW: 110577 - IR_AC: -261
34 - IR_RAW: 110531 - IR_AC: -256
35 - IR_RAW: 110547 - IR_AC: -221
36 - IR_RAW: 110598 - IR_AC: -176
37 - IR_RAW: 110667 - IR_AC: -138
38 - IR_RAW: 110708 - IR_AC: -113
39 - IR_RAW: 110755 - IR_AC: -96
40 - IR_RAW: 110787 - IR_AC: -80
41 - IR_RAW: 110829 - IR_AC: -58
42 - IR_RAW: 110864 - IR_AC: -28
43 - IR_RAW: 110895 - IR_AC: 8
44 - IR_RAW: 110934 - IR_AC: 45
45 - IR_RAW: 110827 - IR_AC: 79
46 - IR_RAW: 110416 - IR_AC: 103
47 - IR_RAW: 110206 - IR_AC: 108
48 - IR_RAW: 110211 - IR_AC: 86
49 - IR_RAW: 110298 - IR_AC: 33
50 - IR_RAW: 110381 - IR_AC: -48
51 - IR_RAW: 110425 - IR_AC: -140
52 - IR_RAW: 110420 - IR_AC: -224
53 - IR_RAW: 110389 - IR_AC: -280
54 - IR_RAW: 110461 - IR_AC: -300
55 - IR_RAW: 110791 - IR_AC: -283
56 - IR_RAW: 111444 - IR_AC: -232
57 - IR_RAW: 112271 - IR_AC: -138
58 - IR_RAW: 113301 - IR_AC: 20
59 - IR_RAW: 109920 - IR_AC: 221
60 - IR_RAW: 87688 - IR_AC: 200
61 - IR_RAW: 82804 - IR_AC: -346
62 - IR_RAW: 71451 - IR_AC: -1600
63 - IR_RAW: 58113 - IR_AC: -3661
64 - IR_RAW: 56816 - IR_AC: -6081
65 - IR_RAW: 45101 - IR_AC: -12652
66 - IR_RAW: 26352 - IR_AC: -501
67 - IR_RAW: 19730 - IR_AC: 5414
68 - IR_RAW: 62179 - IR_AC: -7297
69 - IR_RAW: 89668 - IR_AC: -3395
70 - IR_RAW: 94077 - IR_AC: 12201
71 - IR_RAW: 101224 - IR_AC: -1126
72 - IR_RAW: 106231 - IR_AC: 7222
73 - IR_RAW: 108631 - IR_AC: -1024
74 - IR_RAW: 108795 - IR_AC: -543
75 - IR_RAW: 102550 - IR_AC: -5923
76 - IR_RAW: 60227 - IR_AC: -3200
77 - IR_RAW: 33643 - IR_AC: 1400
78 - IR_RAW: 63779 - IR_AC: 1948
79 - IR_RAW: 91637 - IR_AC: 1870
80 - IR_RAW: 90968 - IR_AC: 1195
81 - IR_RAW: 94237 - IR_AC: -173
82 - IR_RAW: 96746 - IR_AC: 5613
83 - IR_RAW: 98724 - IR_AC: -3581
84 - IR_RAW: 100317 - IR_AC: -4795
85 - IR_RAW: 102462 - IR_AC: -5363
86 - IR_RAW: 104179 - IR_AC: -5221
87 - IR_RAW: 105292 - IR_AC: -4356
88 - IR_RAW: 104266 - IR_AC: -3112
89 - IR_RAW: 90066 - IR_AC: -1565
90 - IR_RAW: 52655 - IR_AC: -532
91 - IR_RAW: 37955 - IR_AC: 151
92 - IR_RAW: 67019 - IR_AC: 333
93 - IR_RAW: 98058 - IR_AC: 364
94 - IR_RAW: 104541 - IR_AC: 702
95 - IR_RAW: 105684 - IR_AC: 1550
96 - IR_RAW: 106653 - IR_AC: 10387
97 - IR_RAW: 107288 - IR_AC: 4288
98 - IR_RAW: 107842 - IR_AC: 5492
99 - IR_RAW: 108362 - IR_AC: -536
100 - IR_RAW: 108767 - IR_AC: 1776
101 - IR_RAW: 109075 - IR_AC: 3958
102 - IR_RAW: 109249 - IR_AC: 5452
103 - IR_RAW: 109329 - IR_AC: 6411
104 - IR_RAW: 109031 - IR_AC: 6750
105 - IR_RAW: 108361 - IR_AC: 6748
106 - IR_RAW: 108273 - IR_AC: 6598
107 - IR_RAW: 108379 - IR_AC: 6336
108 - IR_RAW: 108506 - IR_AC: 5975
109 - IR_RAW: 108593 - IR_AC: 5547
110 - IR_RAW: 108637 - IR_AC: 5096
111 - IR_RAW: 108654 - IR_AC: 4667
112 - IR_RAW: 108647 - IR_AC: 4293
113 - IR_RAW: 108667 - IR_AC: 3987
114 - IR_RAW: 108729 - IR_AC: 3739
115 - IR_RAW: 108809 - IR_AC: 3531
116 - IR_RAW: 108900 - IR_AC: 3345
117 - IR_RAW: 109002 - IR_AC: 3171
118 - IR_RAW: 109092 - IR_AC: 3010
119 - IR_RAW: 109200 - IR_AC: 2867
120 - IR_RAW: 109338 - IR_AC: 2745
121 - IR_RAW: 109454 - IR_AC: 2644
122 - IR_RAW: 109436 - IR_AC: 2560
123 - IR_RAW: 109116 - IR_AC: 2486
124 - IR_RAW: 108934 - IR_AC: 2408
125 - IR_RAW: 108912 - IR_AC: 2314
126 - IR_RAW: 108959 - IR_AC: 2191
127 - IR_RAW: 109013 - IR_AC: 2037
